alpha,K12,K25,K60,K100
-3.0,1.098901,1.1235955,0.98039216,0.98039216
-2.5,1.0869565,1.098901,1.0,0.990099
-2.0,1.0638298,1.0752689,1.010101,1.0
-1.5,1.0309278,1.0416667,1.010101,1.0
-1.0,1.0,1.0,1.0,1.0
-0.5,0.9615385,0.9615385,0.98039216,1.0
0.0,0.9090909,0.9090909,0.952381,0.990099
0.5,0.85470086,0.862069,0.9174312,0.98039216
1.0,0.8,0.8130081,0.86956525,0.9615385
1.5,0.7407407,0.75757575,0.8130081,0.9433963
2.0,0.6802721,0.7092199,0.75757575,0.9174312
2.5,0.621118,0.6535948,0.6944444,0.89285713
3.0,0.56179774,0.5988024,0.6289308,0.862069
